realisation,run_source,delta_v_kms,velocity_sigma_kms,velocity_direction_angle_rad,velocity_seed,stage1_fracture_scale_pc,archived_stage1_fracture_scale_pc,stage1_fracture_abs_error_pc,exact_spatial_reconstruction,stage1_groups,stage1_grouped_stars,forward_s2_first_significant_flags,forward_s2_first_accepted_splits,forward_s2_first_final_groups,forward_s2_first_orphans,forward_s2_first_grouped_stars,forward_s3_second_significant_flags,forward_s3_second_accepted_splits,forward_s3_second_final_groups,forward_s3_second_orphans,forward_s3_second_grouped_stars,forward_mean_completeness,forward_mean_purity,forward_mean_jaccard,forward_templates_detected_ge50pct,forward_strict_recoveries_of_8,forward_overlap_best_groups_separate,forward_formal_overlap_resolved,forward_strict_overlap_resolved,reverse_s3_first_significant_flags,reverse_s3_first_accepted_splits,reverse_s3_first_final_groups,reverse_s3_first_orphans,reverse_s3_first_grouped_stars,reverse_s2_second_significant_flags,reverse_s2_second_accepted_splits,reverse_s2_second_final_groups,reverse_s2_second_orphans,reverse_s2_second_grouped_stars,reverse_mean_completeness,reverse_mean_purity,reverse_mean_jaccard,reverse_templates_detected_ge50pct,reverse_strict_recoveries_of_8,reverse_overlap_best_groups_separate,reverse_formal_overlap_resolved,reverse_strict_overlap_resolved,delta_completeness_reverse_minus_forward,delta_purity_reverse_minus_forward,delta_jaccard_reverse_minus_forward,delta_strict_recoveries_reverse_minus_forward,delta_formal_overlap_reverse_minus_forward,delta_strict_overlap_reverse_minus_forward,same_retention_fraction,elapsed_seconds
32,mc_0032,5.0,1.0,1.5461891265206609,20260857,17.018295368341942,17.018295368341942,0.0,True,100,2462,11,3,103,71,2391,0,0,103,0,2391,0.9233478483606558,0.8343785546826139,0.7690200326076739,7,7,True,False,False,1,1,101,48,2414,10,3,106,12,2402,0.9373719262295082,0.834024542647712,0.7858702697181257,8,7,True,True,False,0.014024077868852403,-0.00035401203490192934,0.01685023711045175,0,1,0,0.9972071561563992,20.422651290893555
33,mc_0033,5.0,1.0,6.188873218858218,20260858,17.038393596540367,17.038393596540367,0.0,True,101,2436,11,4,106,63,2373,0,0,106,0,2373,0.9226647882513661,0.8742662585917897,0.7981251749814,7,7,True,False,False,1,1,102,19,2417,11,4,107,39,2378,0.939421106557377,0.8694009098961297,0.8114971349849002,8,7,True,True,False,0.016756318306010876,-0.004865348695660021,0.01337196000350016,0,1,0,0.9987452440702663,21.572394847869873
34,mc_0034,5.0,1.0,1.5881214935958665,20260859,17.027820392426293,17.027820392426293,0.0,True,101,2435,10,4,105,67,2368,1,0,105,0,2368,0.9291752049180328,0.9399320069974058,0.8849552438086002,8,7,True,True,False,2,1,102,36,2399,10,4,108,17,2382,0.9420572916666667,0.9425277949703438,0.892327365635375,8,7,True,True,False,0.012882086748633892,0.002595787972938024,0.0073721218267747135,0,0,0,0.997409536145066,21.189563989639282
35,mc_0035,5.0,1.0,5.029279401564912,20260860,17.027820392426293,17.027820392426293,0.0,True,101,2477,10,4,108,53,2424,0,0,108,0,2424,0.9239668715846995,0.8332008137866771,0.768067477980728,7,7,True,False,False,1,1,102,30,2447,9,3,107,9,2438,0.941374231557377,0.8314905293691388,0.7792669319468675,8,7,True,True,False,0.017407359972677505,-0.001710284417538288,0.011199453966139417,0,1,0,0.9986238160770663,21.576138973236084
36,mc_0036,5.0,1.0,0.524892684682426,20260861,17.040104933363203,17.040104933363203,0.0,True,100,2458,13,7,109,148,2310,0,0,109,0,2310,0.890625,0.9450543199452166,0.8399448848668374,7,6,True,False,False,1,1,101,47,2411,10,4,106,49,2362,0.939453125,0.9209137360101414,0.868644002156022,8,7,True,True,False,0.048828125,-0.024140583935075233,0.028699117289184617,1,1,0,0.9957904962357322,22.757582902908325
37,mc_0037,5.0,1.0,1.1214408147372361,20260862,17.048388529750305,17.048388529750305,0.0,True,101,2390,11,5,108,43,2347,2,0,108,0,2347,0.8907398551473906,0.8588801511611766,0.768285452033229,7,6,True,False,False,1,1,102,13,2377,10,4,108,16,2361,0.9101003401200682,0.8727229756610179,0.7893983766457376,8,6,True,True,False,0.019360484972677616,0.01384282449984131,0.021112924612508688,0,1,0,0.998947624058933,22.72075390815735
38,mc_0038,5.0,1.0,5.430242135991792,20260863,17.048388529750305,17.048388529750305,0.0,True,102,2396,13,5,109,38,2358,0,0,109,0,2358,0.9071546779572485,0.9014246460612843,0.8180695639756619,7,7,True,False,False,1,1,103,7,2389,12,4,109,17,2372,0.9250209689408551,0.9121908080907442,0.8380662530014411,8,7,True,True,False,0.017866290983606592,0.010766162029459903,0.019996689025779224,0,1,0,0.998947624058933,23.06628704071045
39,mc_0039,5.0,1.0,6.271068615586418,20260864,17.027820392426293,17.027820392426293,0.0,True,102,2398,10,3,105,30,2368,1,1,106,5,2363,0.9226647882513661,0.9168724528291997,0.8446290374337585,7,7,True,False,False,1,1,103,14,2384,10,3,108,8,2376,0.939421106557377,0.9163237240792236,0.8567078229091925,8,7,True,True,False,0.016756318306010876,-0.0005487287499761351,0.01207878547543395,0,1,0,0.9991500040475998,22.780336141586304
40,mc_0040,5.0,1.0,2.2583822105702653,20260865,17.040104933363203,17.040104933363203,0.0,True,102,2423,12,3,106,51,2372,1,0,106,0,2372,0.9226647882513661,0.8961822757646435,0.8216745168147555,7,7,True,False,False,2,1,103,25,2398,11,3,108,15,2383,0.94140625,0.8956759319603247,0.8442439029163554,8,7,True,True,False,0.018741461748633892,-0.0005063438043187984,0.022569386101599975,0,1,0,0.9985833400793329,25.526036024093628
41,mc_0041,5.0,1.0,0.11885830052367337,20260866,16.818424617458945,16.818424617458945,0.0,True,94,2395,11,5,101,104,2291,1,0,101,0,2291,0.9194417042154954,0.8975725229006057,0.8403614761283476,7,7,True,False,False,2,1,95,36,2359,11,5,101,82,2277,0.9361980225215063,0.9038627306078911,0.8540764211890252,8,7,True,True,False,0.016756318306010876,0.006290207707285389,0.013714945060677608,0,1,0,0.9977333441269327,24.47341012954712
